"qseqid"	"log2FoldChange"
"104414021"	0.296809119229725
"104414022"	0.232689043237678
"104414023"	-0.538404641142077
"104414024"	0.0646711840938902
"104414025"	-0.0849530839751175
"104414026"	-0.0585150782644432
"104414028"	0.325548737807236
"104414029"	-1.51376846032617
"104414031"	1.15043880030949
"104414032"	0.691581933828552
"104414033"	0.278968553813338
"104414034"	-3.96947371148596
"104414037"	0.629876606718819
"104414038"	-0.09661030221289
"104414040"	-0.935101473522053
"104414041"	0.349652595780176
"104414042"	0.585030079658901
"104414043"	-0.762301594367561
"104414045"	-0.129054484974155
"104414046"	0.0311599938819449
"104414048"	0.147424955330157
"104414049"	0.112746278981765
"104414051"	0.202484182268669
"104414057"	-0.176036026753149
"104414058"	0.405705123546856
"104414059"	-0.19987385917112
"104414060"	-1.84807958037611
"104414062"	0.0291268014286093
"104414063"	0.196944282126715
"104414065"	-0.00866474987032493
"104414067"	-0.762612953396475
"104414068"	0.376585392969503
"104414069"	0.641382730675886
"104414070"	1.34748225023336
"104414071"	2.84930399164177
"104414072"	0.182481065398738
"104414074"	-1.30662689399036
"104414076"	-0.0100988552449554
"104414078"	-0.646514728640969
"104414080"	1.20730525422359
"104414081"	-0.220879602174526
"104414084"	-0.22368602256602
"104414085"	-0.588129572587511
"104414086"	-0.128786661289699
"104414087"	0.241837213303771
"104414089"	-0.051322909062283
"104414090"	-0.729961906438221
"104414091"	-0.689895401137651
"104414096"	3.45861940473915
"104414097"	-0.373219595027455
"104414101"	2.49156858945943
"104414103"	0.409627095773974
"104414104"	-0.00319696936688208
"104414105"	-0.293947446630826
"104414106"	0.274017357931876
"104414107"	0.20383231756943
"104414112"	-0.0911791031448518
"104414113"	0.36293286884233
"104414114"	-1.54703471372412
"104414115"	-0.400849465682615
"104414116"	0.232098563344587
"104414117"	-1.34090273724014
"104414118"	0.828108334787442
"104414120"	-0.0979293171512862
"104414121"	0.147672953265215
"104414122"	0.399570466492638
"104414123"	0.0627263487451385
"104414124"	-0.778661024252529
"104414125"	0.257578774485459
"104414127"	0.169614837739775
"104414128"	-0.477877040491585
"104414129"	2.42680234157479
"104414130"	-0.503180922251901
"104414132"	1.2776164969005
"104414133"	2.57394983828996
"104414134"	-0.157531153653386
"104414135"	-0.601986714018465
"104414136"	-0.552709070699042
"104414137"	0.0571161598625021
"104414140"	0.688414139621322
"104414141"	-0.384629219601067
"104414143"	0.0951353072732541
"104414145"	-1.32047252925049
"104414148"	0.0591490854848403
"104414151"	0.847654769384975
"104414152"	-0.0787661651949344
"104414153"	0.327455889697534
